CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_V_A_VL_DIRCRED_PRAZO;TAB_V_A1_VL_PRAZO_VENC_30;TAB_V_A2_VL_PRAZO_VENC_60;TAB_V_A3_VL_PRAZO_VENC_90;TAB_V_A4_VL_PRAZO_VENC_120;TAB_V_A5_VL_PRAZO_VENC_150;TAB_V_A6_VL_PRAZO_VENC_180;TAB_V_A7_VL_PRAZO_VENC_360;TAB_V_A8_VL_PRAZO_VENC_720;TAB_V_A9_VL_PRAZO_VENC_1080;TAB_V_A10_VL_PRAZO_VENC_MAIOR_1080;TAB_V_B_VL_DIRCRED_INAD;TAB_V_B1_VL_INAD_30;TAB_V_B2_VL_INAD_60;TAB_V_B3_VL_INAD_90;TAB_V_B4_VL_INAD_120;TAB_V_B5_VL_INAD_150;TAB_V_B6_VL_INAD_180;TAB_V_B7_VL_INAD_360;TAB_V_B8_VL_INAD_720;TAB_V_B9_VL_INAD_1080;TAB_V_B10_VL_INAD_MAIOR_1080;TAB_V_C_VL_DIRCRED_ANTECIPADO;TAB_V_C1_VL_ANTECIPADO_30;TAB_V_C2_VL_ANTECIPADO_60;TAB_V_C3_VL_ANTECIPADO_90;TAB_V_C4_VL_ANTECIPADO_120;TAB_V_C5_VL_ANTECIPADO_150;TAB_V_C6_VL_ANTECIPADO_180;TAB_V_C7_VL_ANTECIPADO_360;TAB_V_C8_VL_ANTECIPADO_720;TAB_V_C9_VL_ANTECIPADO_1080;TAB_V_C10_VL_ANTECIPADO_MAIOR_1080
23.029.136/0001-20;ROYAL OAK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.033.577/0001-03;ILLUMINATI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;23242555.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23242555.03;73638265.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;73638265.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.033.778/0001-00;ITUPEVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;26611912.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26611912.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.076.742/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA OPORTUNA PRECATÓRIOS FEDERAIS;2024-11-30;34124038.39;0.00;436395.07;882795.13;2679569.92;0.00;0.00;11264464.04;17678157.65;1182656.58;0.00;22831210.47;262677.92;0.00;0.00;0.00;0.00;0.00;7260018.99;6475617.23;2142252.82;6690643.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.077.070/0001-43;CHEHOHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;1748820.09;991004.08;757816.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14575.08;14575.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.077.181/0001-50;CIMITARRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2024-11-30;6593529.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6593529.75;2471412.77;2471412.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.098.169/0001-21;CLASSE ÚNICA DE COTAS DO NFM FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;768131.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;768131.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.104.455/0001-52;SATURNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;751084.82;426345.13;114256.30;106400.98;104082.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.104.468/0001-21;SELECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;156119412.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;156119412.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.104.485/0001-69;CVPAR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;186245045.98;1827674.15;14473787.75;43353201.52;2623665.29;2552692.77;2827822.86;71659337.90;45444798.56;668261.13;813804.05;269983.65;247585.91;0.00;0.00;0.00;0.00;0.00;0.00;22397.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.177.585/0001-15;FLOWINVEST FIC FIDC - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.200.278/0001-08;LIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS MULTISEGMENTO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.200.289/0001-98;CF FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;249535995.23;46230159.86;17335340.65;5185366.79;2501184.39;1248570.36;1548555.50;9012030.67;45570470.34;796873.02;120107443.65;72621533.03;12961844.99;4748872.58;256109.07;80431.69;80977.70;81808.91;8964948.99;9789433.46;20094107.62;15562998.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.216.398/0001-01;MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;233285413.50;64772215.17;28404336.37;4465186.63;7515309.69;2706362.40;9919276.21;24937799.66;62244263.93;10465630.85;17855032.59;18372583.46;7301903.21;2751574.44;1532084.09;1392621.95;1415278.16;1482812.83;2496308.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.216.640/0001-39;JC SILOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2024-11-30;190461789.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;190461789.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.245.575/0001-70;MEG FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.246.620/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MARTE FORNECEDORES;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.273.905/0001-30;CREDSHOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS VAREJO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4644006.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4644006.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.274.015/0001-43;KREDITARE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;3513553.73;1731483.43;854333.84;402286.13;90154.71;50325.75;49552.28;247915.03;87502.56;0.00;0.00;666620.82;331538.84;38494.21;7966.78;6512.68;6512.68;6512.68;258232.13;10850.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.293.595/0001-16;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PREMIER;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.381.539/0001-33;LESTE CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;33539626.67;0.00;0.00;0.00;0.00;0.00;0.00;23328242.22;4151864.10;0.00;6059520.35;3062793.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3029828.65;32964.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.426.441/0001-55;MULTIPLIK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;123388268.43;11959546.80;5851534.31;4909698.27;5737939.70;5081239.12;4919845.46;26216338.90;35762600.45;19825892.65;3123632.77;40041921.45;7695653.38;9336630.49;9896880.87;7445229.38;5667527.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.520.837/0001-67;DIVALLORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.521.077/0001-02;CONSIGA MAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;436726035.50;31376473.96;31711990.55;30310252.60;28569935.14;26677899.43;24902149.56;114356469.11;108131410.89;32788518.53;7900935.73;50608924.71;10607630.23;8241538.26;6305950.54;5321359.59;4029750.88;3998358.79;11863126.05;241210.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.669.183/0001-38;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA PREMIER CAPITAL MULTISETORIAL LONGO PRAZO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15546684.91;0.00;0.00;0.00;0.00;0.00;0.00;68748.23;12086166.13;2625623.09;766147.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.729.525/0001-68;VALORA GUARDIAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.750.225/0001-60;TRAÇÃO FINANCEIRA  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;237694230.83;15600179.75;15442434.21;14358140.42;13966259.77;12657196.14;11726632.00;56622528.32;70670289.91;24290292.25;2360278.06;15490670.22;3939618.96;2210965.64;1594165.85;1054198.76;1056059.63;905510.86;4660117.92;70032.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.773.276/0001-08;URBANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL;2024-11-30;38000558.25;6860132.57;4594567.67;4596536.85;3866062.06;2859263.00;2242641.96;9043039.22;3770653.16;167661.76;0.00;739451.85;507021.84;91050.68;73047.96;34378.24;18430.71;8659.32;6863.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.798.073/0001-76;JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP;2024-11-30;536119050.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;536119050.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.798.103/0001-44;JC CRÉDITO-PRÊMIO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS-FIDC-NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.849.251/0001-40;WILBURY NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;506610.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;506610.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.884.789/0001-96;III FIDC POLO RECUPERAÇÃO DE  CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;18671310.44;0.00;1441822.87;1441822.87;2843441.58;1368724.39;312851.29;1564256.45;3754215.48;3754215.48;2189960.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.884.799/0001-21;FP GENIAL 2 RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;6583315.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6583315.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.954.863/0001-01;JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP;2024-11-30;1873546086.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1873546086.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.882/0001-69;SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA;2024-11-30;180653595.35;95787659.18;46801470.08;10697570.16;5367802.35;2966084.22;5449464.33;9394066.52;4189478.51;0.00;0.00;24205242.74;3964647.35;1465291.72;1636691.11;1621139.37;2225648.52;3039078.17;10247599.20;5147.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.944/0001-32;CANAL 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS-NÃO PADRONIZADO;2024-11-30;29481779.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29481779.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.961/0001-70;RIDOLFINVEST 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;84144176.55;0.00;5655801.75;0.00;0.00;0.00;0.00;0.00;60201386.05;1464313.48;16822675.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.975/0001-93;VERITAS FORSETI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO;2024-11-30;3655634.66;85787.16;95747.54;96210.47;80405.76;70446.40;48240.37;500911.96;306286.81;167396.21;2204201.98;3.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.991/0001-86;SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.957.002/0001-79;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL;2024-11-30;35359591.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35359591.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.069.420/0001-92;RIO CLARO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;6356599.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6356599.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.069.733/0001-40;MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;837324958.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;837324958.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.080.647/0001-39;AGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.193.613/0001-50;ÍTACA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;20623031.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20623031.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.194.675/0001-87;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA;2024-11-30;462086580.78;40088788.38;0.00;0.00;0.00;0.00;0.00;44260583.62;7039601.02;0.00;370697607.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.220.859/0001-74;DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;8342208.17;1579808.73;1557232.13;422342.61;415870.29;408342.23;401190.09;1811794.41;1326038.72;0.00;419588.96;17464623.23;696777.06;51000.00;0.00;51000.00;333677.04;392605.08;10471504.44;5468059.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.237.625/0001-30;TERRA NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.270.499/0001-15;SÃO LUÍS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;19290870.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19290870.61;1554060.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1554060.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.270.541/0001-06;DISAM BANK FIDC DO AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.270.570/0001-60;LAVORO FIC FIDC MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.282.003/0001-23;MERCANTIL FUNDOS DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS CLASSE UNICA FECHADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.290.695/0001-51;VALECRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-11-30;1507284.61;1288210.42;138148.33;51805.77;16297.48;6496.05;6326.56;0.00;0.00;0.00;0.00;303881.37;303881.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.331.364/0001-12;CIPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.426.716/0001-13;ESMERALDA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;361638.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;361638.49;7918.43;7918.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.445.329/0001-24;ASPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.445.360/0001-65;AR BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS IMOBILIÁRIOS I;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2390827.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2390827.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.504.464/0001-01;OXSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;129615288.80;57743782.73;40030960.00;7202570.95;2424463.26;10453745.63;2453270.47;7053597.41;2252898.35;0.00;0.00;16467712.21;6975790.55;5609740.09;1738832.26;705772.26;583775.63;267255.71;586545.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.506.071/0001-29;VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;19721417.05;3155622.86;1565668.18;1652965.83;1297600.27;1059612.31;881425.93;5433096.89;3561578.36;965481.54;148364.88;3185174.86;1437720.96;90041.54;113601.93;1270643.86;42451.51;41427.13;189287.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.506.241/0001-75;ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.506.265/0001-24;VERSATIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;497983.56;120433.11;95111.48;68482.81;65550.25;35839.99;34347.88;78218.04;0.00;0.00;0.00;16373.80;16373.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.546.098/0001-45;GII GESTAO INTELIGENTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;9792369.72;1216586.75;769505.21;552040.41;735321.72;407085.76;396003.31;3720175.91;1995650.65;0.00;0.00;4169868.35;987710.77;654499.02;654499.02;967519.77;652619.02;0.00;253020.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
