CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_VL_LIQUIDEZ_0;TAB_X_VL_LIQUIDEZ_30;TAB_X_VL_LIQUIDEZ_60;TAB_X_VL_LIQUIDEZ_90;TAB_X_VL_LIQUIDEZ_180;TAB_X_VL_LIQUIDEZ_360;TAB_X_VL_LIQUIDEZ_MAIOR_360
21.397.569/0001-02;FS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.397.715/0001-08;FP GENIAL RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.397.762/0001-43;PAULISTA VARALI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.397.791/0001-05;II FIDC NP POLO RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.556.756/0001-91;ATF II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.605.486/0001-61;VALORTEC FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.648.446/0001-05;CREDIFIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.824.924/0001-82;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO-PADRONIZADOS CIELO;2024-11-30;0.00;0.00;202239244.92;121884075.26;210598513.14;136226814.61;366734321.98
21.838.483/0001-78;RIO FORMOSO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21.888.857/0001-60;OS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL - RESPONSABILIDADE LIMITADA;2024-11-30;6222042.97;0.00;0.00;0.00;0.00;0.00;0.00
21.917.325/0001-03;LABRADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.003.546/0001-39;BRL PARTNERS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.003.571/0001-12;INVESTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;776032.60;7646990.31;3375301.18;472001.72;88678.86;0.00;716071.69
22.061.694/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BREOF REAL ESTATE CREDIT RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.101.473/0001-18;LITUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.128.298/0001-52;VALORA GUARDIAN MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;249133798.75;807451902.73;815398931.00;821451484.96;829796029.99;909384652.12;909384652.12
22.175.345/0001-19;FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS VIA MULTICRÉDITO RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.175.369/0001-78;CONFIANÇA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;5465212.37;55897227.08;22429200.92;7483928.67;15045036.01;5854486.22;12845198.41
22.175.405/0001-01;MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;6845018.67;79242457.32;35471887.75;12340388.89;1476680.37;58087.96;4152308.25
22.235.997/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO EAN;2024-11-30;8985376.83;0.00;0.00;0.00;105356880.76;3996510.15;4406449.61
22.282.851/0001-07;VIRGÍNIA FIC DE FIDC MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2024-11-30;717351.53;17088286.68;0.00;0.00;0.00;0.00;0.00
22.358.482/0001-99;AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.397.286/0001-23;INVESTHOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;1422006.03;0.00;0.00;0.00;0.00;0.00;0.00
22.397.315/0001-57;BLUMENAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.406.927/0001-69;INVESTCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;435771.42;4539887.67;2677669.32;695548.66;1341858.81;177102.96;521938.54
22.415.372/0001-11;FUNDO DE RECUPERAÇÃO DE ATIVOS FIDC - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.443.425/0001-08;ITAPEVA X  MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.588.302/0001-65;ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;2756.27;0.00;0.00;0.00;0.00;0.00;0.00
22.753.477/0001-80;PJUS PRECATÓRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE ILIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.753.713/0001-69;VENTURA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;11949451.03;41600199.03;18830604.16;6175294.22;4599316.24;1310224.41;9335883.42
22.802.113/0001-43;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MUSTANG MULTICARTEIRA - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;505519964.33
22.881.521/0001-38;JC HONORÁRIOS TDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.945.783/0001-19;LEVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.945.880/0001-01;REAG SPECIAL SITUATION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO;2024-11-30;34.20;0.00;0.00;0.00;0.00;0.00;0.00
22.945.949/0001-05;PENCA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22.998.896/0001-82;BRASIL PLURAL SPECIAL SITUATIONS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.006.061/0001-61;MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.029.136/0001-20;ROYAL OAK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.033.577/0001-03;ILLUMINATI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.033.778/0001-00;ITUPEVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.076.742/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA OPORTUNA PRECATÓRIOS FEDERAIS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.077.070/0001-43;CHEHOHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.077.181/0001-50;CIMITARRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2024-11-30;17194349.35;0.00;0.00;0.00;0.00;0.00;0.00
23.098.169/0001-21;CLASSE ÚNICA DE COTAS DO NFM FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.104.455/0001-52;SATURNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.104.468/0001-21;SELECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;1473.80;0.00;0.00;0.00;0.00;0.00;0.00
23.104.485/0001-69;CVPAR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;27564758.24;22944749.51;28477799.67;81402959.39;20893188.94;106117447.88;87590976.18
23.177.585/0001-15;FLOWINVEST FIC FIDC - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.200.278/0001-08;LIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS MULTISEGMENTO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.200.289/0001-98;CF FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.216.398/0001-01;MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;66797232.91;351819167.08;122350988.04;36184926.47;119119579.73;126011048.88;169469095.31
23.216.640/0001-39;JC SILOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.245.575/0001-70;MEG FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.246.620/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MARTE FORNECEDORES;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.273.905/0001-30;CREDSHOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS VAREJO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.274.015/0001-43;KREDITARE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;1118425.00;24549169.08;7366603.55;3925852.53;2496938.49;250801.62;2204624.01
23.293.595/0001-16;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PREMIER;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.381.539/0001-33;LESTE CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;191609.79;48.12;0.00;0.00;0.00;23328242.22;10211384.45
23.426.441/0001-55;MULTIPLIK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.520.837/0001-67;DIVALLORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.521.077/0001-02;CONSIGA MAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.669.183/0001-38;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA PREMIER CAPITAL MULTISETORIAL LONGO PRAZO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.729.525/0001-68;VALORA GUARDIAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;84976275.31;247505379.04;250230886.54;251311859.11;251439155.13;272009041.22;272008509.51
23.750.225/0001-60;TRAÇÃO FINANCEIRA  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.773.276/0001-08;URBANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.798.073/0001-76;JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.798.103/0001-44;JC CRÉDITO-PRÊMIO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS-FIDC-NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.849.251/0001-40;WILBURY NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.884.789/0001-96;III FIDC POLO RECUPERAÇÃO DE  CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;15866971.98;0.00;0.00;0.00;0.00;0.00;0.00
23.884.799/0001-21;FP GENIAL 2 RECUPERAÇÃO DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.954.863/0001-01;JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.882/0001-69;SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.944/0001-32;CANAL 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS-NÃO PADRONIZADO;2024-11-30;23267.09;0.00;0.00;0.00;0.00;0.00;0.00
23.956.961/0001-70;RIDOLFINVEST 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.975/0001-93;VERITAS FORSETI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.956.991/0001-86;SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23.957.002/0001-79;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.069.420/0001-92;RIO CLARO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.069.733/0001-40;MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.080.647/0001-39;AGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.193.613/0001-50;ÍTACA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.194.675/0001-87;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.220.859/0001-74;DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;20430818.83;29401936.57;19355135.46;5571388.75;12933603.91;26204926.02;35564506.80
24.237.625/0001-30;TERRA NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.270.499/0001-15;SÃO LUÍS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.270.541/0001-06;DISAM BANK FIDC DO AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA;2024-11-30;0.00;1789639.45;6250528.22;2546166.23;123644689.97;10371994.14;0.00
24.270.570/0001-60;LAVORO FIC FIDC MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.282.003/0001-23;MERCANTIL FUNDOS DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS CLASSE UNICA FECHADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.290.695/0001-51;VALECRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-11-30;17169468.97;43880045.00;18078279.71;10432656.23;4234986.25;200340.39;13982618.42
24.331.364/0001-12;CIPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;550619.63;0.00;0.00;0.00;0.00;0.00;0.00
24.426.716/0001-13;ESMERALDA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.445.329/0001-24;ASPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.445.360/0001-65;AR BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS IMOBILIÁRIOS I;2024-11-30;6408209.75;0.00;0.00;0.00;0.00;0.00;2390827.15
24.504.464/0001-01;OXSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;9379104.64;248942576.10;173651493.91;52658802.14;54090431.42;15056620.29;52875879.63
24.506.071/0001-29;VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.506.241/0001-75;ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.506.265/0001-24;VERSATIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.546.098/0001-45;GII GESTAO INTELIGENTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;7020620.22;58749239.88;36603225.69;20470368.18;49040640.17;3718039.75;27604427.12
24.552.987/0001-15;NDMP I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.773.662/0001-62;GUAPORÉ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.774.059/0001-03;PROSPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.796.631/0001-27;EVOLVE FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;26309150.41;59092355.92;58404259.31;26518591.37;14934992.09;17465376.70;80985980.42
24.796.670/0001-24;LUDU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;106685.49;0.00;0.00;0.00;0.00;0.00;0.00
24.797.980/0001-63;EUROPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.814.759/0001-76;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAIS LOTES - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.852.946/0001-44;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TG REAL;2024-11-30;8696075.34;0.00;2346.46;0.00;0.00;2303310.71;20962405.14
24.976.450/0001-82;VALE 40 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.987.402/0001-90;SEJA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;6835667.50;28513787.54;18240659.53;9480190.61;4193124.51;0.00;7034190.40
25.043.891/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE III;2024-11-30;133535862.04;0.00;3440.40;78964.16;50702687.32;48754369.96;126529097.11
25.080.500/0001-01;VALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.162.160/0001-68;LEX FINANCIAL INVESTMENTS FIC FIDC;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.166.362/0001-88;BRASIL CRÉDITO GESTÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.167.283/0001-91;KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.213.355/0001-90;VALORA GUARDIAN ADVISORY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;141236588.07;410992918.93;415222868.53;417949617.01;420860308.24;455544553.96;455544553.96
25.235.009/0001-02;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA IMOBILIÁRIO;2024-11-30;0.00;297659.30;375209.18;280640.98;874003.04;1859581.44;10421172.85
25.246.617/0001-12;DIP FINANCING 11 FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;102944.52;0.00;0.00;0.00;0.00;0.00;0.00
25.248.974/0001-10;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;5313980.05;5123707.49;13522117.21;20342033.09;37676839.23
25.295.530/0001-35;HIGH YIELD DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - RESPON. LIMIT;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.306.519/0001-23;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GOAL RJ;2024-11-30;0.00;2614844.25;20077919.61;3215169.76;2278943.00;356435.43;1926472.29
25.307.052/0001-36;G5 CRPR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.316.863/0001-01;SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.354.081/0001-59;ALBATROZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.354.121/0001-62;MONEFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.382.606/0001-60;URA AGRO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.695.170/0001-69;INVESTCAMP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.970.315/0001-92;DELPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.000.055/0001-95;SILVER STONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.000.088/0001-35;RNX FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FIDC MULTISSETORIAL;2024-11-30;127536252.48;2237502.98;0.00;1117619.59;0.00;0.00;0.00
26.142.862/0001-42;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA;2024-11-30;34154420.37;178414850.19;121112345.84;75603263.24;108340020.06;40254929.36;77692.48
26.154.177/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.199.650/0001-00;MERCANTIL DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTI OPEN I;2024-11-30;50900.95;11816331.77;459617.54;230309.21;14271431.30;6006387.16;1130121.44
26.199.686/0001-85;RIO DOCE FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.199.799/0001-80;TARISUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.199.830/0001-83;SAINT JOHN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
