CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
37.037.144/0001-22;WM GALAPAGOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;397329410.78;391491557.61
37.053.227/0001-05;G5 STAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2024-11-30;6627294.29;6473571.96
37.054.545/0001-90;AGROHUB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;79540220.69;80275368.14
37.087.653/0001-60;RIZA MEYENII DLG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;320020108.26;331085467.01
37.098.218/0001-30;G5 CC FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;45023843.37;44533023.14
37.120.828/0001-93;G5 SPECIAL FUNDO DE  INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS NÃO PA;2024-11-30;453318400.29;441018187.45
37.121.165/0001-21;COOPERA FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;26888255.67;24337586.73
37.121.216/0001-15;HOD MULTIPLICA 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;125343764.05;131115780.57
37.266.557/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM II RESPONSABILIDADE LIMITADA;2024-11-30;75894440.34;0.00
37.284.201/0001-78;ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE L;2024-11-30;918952771.93;881986119.66
37.294.759/0001-34;GALLERIA HOME EQUITY FIDC;2024-11-30;267714546.91;260685157.79
37.294.908/0001-65;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CCS ASSET II - RESPONSABILIDADE LIMITADA;2024-11-30;30046279.00;42948465.24
37.298.599/0001-00;QUARTER PRECATÓRIOS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;9293626.34;5514788.24
37.310.965/0001-90;G5 SANEAMENTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;46992339.93;48019605.03
37.348.481/0001-30;PRECATÓRIOS E CRÉDITOS JUDICIAIS LEXIS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;50191039.26;50365439.22
37.351.013/0001-15;CS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;108435202.20;103944949.95
37.388.031/0001-71;HC HIDROCARBON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;222037759.00;222135423.50
37.406.818/0001-19;ARTESANAL REAL ESTATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;139274831.09;137276126.33
37.436.930/0001-00;ROCKET PRECATÓRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;3375692.81;4015899.01
